IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
357;06/12/2022 01:00;101;93;14;15;16
358;06/12/2022 01:30;130;111;7;7;24
359;06/12/2022 03:00;104;112;10;10;12
360;07/12/2022 00:30;116;102;6;6;14
361;07/12/2022 00:30;96;116;15;16;9
362;07/12/2022 03:00;115;116;8;8;7
363;08/12/2022 00:00;116;111;21;22;13
364;08/12/2022 00:30;122;116;3;3;4
365;08/12/2022 00:30;113;89;19;20;1
366;08/12/2022 00:30;126;113;27;28;14
367;08/12/2022 01:00;115;111;5;5;30
368;08/12/2022 01:00;123;102;14;15;21
369;08/12/2022 01:00;126;113;16;17;26
370;08/12/2022 01:00;121;115;17;18;12
371;08/12/2022 01:00;104;98;18;19;9
372;08/12/2022 02:00;124;123;28;29;10
373;08/12/2022 03:00;98;125;23;24;2
374;09/12/2022 00:30;115;110;15;16;13
375;09/12/2022 01:30;118;109;26;27;11
376;09/12/2022 03:00;120;121;24;25;8
377;10/12/2022 00:00;102;121;4;4;20
378;10/12/2022 00:00;121;111;12;12;30
379;10/12/2022 00:00;113;109;21;22;28
380;10/12/2022 00:30;120;116;3;3;1
381;10/12/2022 00:30;95;106;6;6;26
382;10/12/2022 00:30;133;122;22;23;14
383;10/12/2022 01:00;114;103;14;15;9
384;10/12/2022 01:30;128;117;18;19;24
385;10/12/2022 02:00;108;118;28;29;18
386;10/12/2022 03:00;105;106;7;7;17
387;10/12/2022 22:00;111;115;15;16;27
388;11/12/2022 00:00;133;136;12;12;3
389;11/12/2022 00:00;107;114;29;30;13
390;11/12/2022 00:30;110;102;6;6;21
391;11/12/2022 01:00;144;115;5;5;7
392;11/12/2022 01:30;123;107;10;10;2
393;11/12/2022 02:00;115;110;8;8;29
394;11/12/2022 03:00;124;118;24;25;18
395;11/12/2022 20:30;129;124;18;19;24
396;11/12/2022 23:00;117;124;9;9;14
397;11/12/2022 23:00;112;99;19;20;26
398;11/12/2022 23:00;111;99;21;22;28
399;11/12/2022 23:00;131;113;22;23;4
400;11/12/2022 23:30;123;122;1;1;5
401;12/12/2022 00:00;97;92;11;11;17
402;13/12/2022 00:00;82;87;12;12;16
403;13/12/2022 00:00;100;112;29;30;3
404;13/12/2022 01:00;128;103;14;15;1
405;13/12/2022 01:30;121;114;7;7;21
406;13/12/2022 01:30;112;111;26;27;6
